datetime,unit_id,value_type,value,client_id,installation_id,msg
2026-06-17 00:09:46,8c1f64619000228d,error_code,0.0,1637,1634,
2026-06-17 00:09:46,8c1f64619000228d,gateway_snr,9.0,1637,1634,24e124fffef94d5c
2026-06-17 00:09:46,8c1f64619000228d,gateway_rssi,-97.0,1637,1634,24e124fffef94d5c
2026-06-17 00:09:46,8c1f64619000228d,battery,3584.0,1637,1634,
2026-06-17 00:09:46,8c1f64619000228d,frame_counter,6422.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,payload,1.0,1637,1634,43470d030000755600000000000055390d03f6fd250a02e5e9535455
2026-06-17 00:09:47,8c1f6461900014f5,battery,3632.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,spreading_factor,7.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,ambient_temp,22.5,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,gateway_snr,6.5,1637,1634,24e124fffef949f8
2026-06-17 00:09:47,8c1f6461900014f5,error_code,0.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,bandwidth,125000.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,gateway_rssi,-104.0,1637,1634,24e124fffef949f8
2026-06-17 00:09:47,8c1f6461900014f5,frame_counter,3571.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,battery_recovered,3664.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,total_volume,22133.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,water_temp_max,22.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,leak_status,2.0,1637,1634,
2026-06-17 00:09:47,8c1f6461900014f5,water_temp_min,21.5,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,error_code,0.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,payload,1.0,1637,1634,f135090300005d780000080000001e2809031201a20002e9ec555554
2026-06-17 00:11:21,8c1f646190002222,ambient_temp,22.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,total_volume,30813.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,water_temp_min,22.5,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,battery_recovered,3688.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,bandwidth,125000.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,leak_status,2.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,gateway_rssi,-109.0,1637,1634,24e124fffef949f8
2026-06-17 00:11:21,8c1f646190002222,spreading_factor,7.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,battery,3664.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,frame_counter,3631.0,1637,1634,
2026-06-17 00:11:21,8c1f646190002222,gateway_snr,1.2000000476837158,1637,1634,24e124fffef949f8
2026-06-17 00:11:21,8c1f646190002222,water_temp_max,22.5,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,bandwidth,125000.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,total_volume,46881.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,spreading_factor,7.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,battery,3568.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,leak_status,2.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,error_code,0.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,water_temp_max,52.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,ambient_temp,22.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,payload,1.0,1637,1634,e2640903000021b70000a0cb0e00005709034000740302dde9549054
2026-06-17 00:11:40,8c1f646190001b91,frame_counter,6532.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,gateway_rssi,-106.0,1637,1634,24e124fffef94d5c
2026-06-17 00:11:40,8c1f646190001b91,gateway_snr,2.5,1637,1634,24e124fffef94d5c
2026-06-17 00:11:40,8c1f646190001b91,battery_recovered,3664.0,1637,1634,
2026-06-17 00:11:40,8c1f646190001b91,water_temp_min,22.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,gateway_snr,9.5,1637,1634,24e124fffef949f8
2026-06-17 00:12:15,8c1f6461900019cf,gateway_rssi,-102.0,1637,1634,24e124fffef949f8
2026-06-17 00:12:15,8c1f6461900019cf,leak_status,0.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,bandwidth,125000.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,battery_recovered,3656.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,water_temp_min,22.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,ambient_temp,22.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,error_code,0.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,spreading_factor,7.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,total_volume,68315.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,frame_counter,3544.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,battery,3632.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,water_temp_max,22.0,1637,1634,
2026-06-17 00:12:15,8c1f6461900019cf,payload,1.0,1637,1634,716f09030000db0a010000000000000000000000000000e5e8545454
2026-06-17 00:12:39,8c1f646190002206,water_temp_max,22.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,total_volume,201550.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,leak_status,0.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,frame_counter,7003.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,bandwidth,125000.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,gateway_rssi,-101.0,1637,1634,24e124fffef94d5c
2026-06-17 00:12:39,8c1f646190002206,ambient_temp,22.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,battery_recovered,3672.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,water_temp_min,22.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,payload,1.0,1637,1634,f971090300004e130300c74f0f00000000000000000000e1ea545454
2026-06-17 00:12:39,8c1f646190002206,battery,3600.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,error_code,0.0,1637,1634,
2026-06-17 00:12:39,8c1f646190002206,gateway_snr,7.5,1637,1634,24e124fffef94d5c
2026-06-17 00:12:39,8c1f646190002206,spreading_factor,7.0,1637,1634,
2026-06-17 00:13:12,24e124725d489523,battery,39.0,1637,1634,
2026-06-17 00:13:12,24e124725d489523,temperature,20.5,1637,1634,
2026-06-17 00:13:12,24e124725d489523,gateway_rssi,-107.0,1637,1634,24e124fffef949f8
2026-06-17 00:13:12,24e124725d489523,frame_counter,7467.0,1637,1634,
2026-06-17 00:13:12,24e124725d489523,spreading_factor,7.0,1637,1634,
2026-06-17 00:13:12,24e124725d489523,humidity,52.0,1637,1634,
2026-06-17 00:13:12,24e124725d489523,payload,85.0,1637,1634,0175270367cd00046868
2026-06-17 00:13:12,24e124725d489523,gateway_snr,5.5,1637,1634,24e124fffef949f8
2026-06-17 00:13:12,24e124725d489523,bandwidth,125000.0,1637,1634,
2026-06-17 00:14:15,8c1f646190001bf1,water_temp_max,22.0,1637,1634,
2026-06-17 00:14:15,8c1f646190001bf1,battery_recovered,3672.0,1637,1634,
